character	comicbook
24-HOUR MAN/EMMANUEL	AA2 35
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	M/PRM 35
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	M/PRM 36
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	M/PRM 37
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	WI? 9
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	AVF 4
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	AVF 5
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	H2 251
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	H2 252
3-D MAN/CHARLES CHANDLER & HAROLD CHANDLER	COC 1
4-D MAN/MERCURIO	T 208
4-D MAN/MERCURIO	T 214
4-D MAN/MERCURIO	T 215
4-D MAN/MERCURIO	T 216
4-D MAN/MERCURIO	T 440
4-D MAN/MERCURIO	CM 51
4-D MAN/MERCURIO	Q 14
4-D MAN/MERCURIO	Q 16
4-D MAN/MERCURIO	CA3 36
8-BALL/	SLEEP 2
8-BALL/	SLEEP 1
8-BALL/	SLEEP 19
A	W2 159
A	W2 160
A	W2 161
A'YIN	XCAL 110
A'YIN	XCAL 109
A'YIN	XCAL 107
A'YIN	XCAL 108
ABBOTT, JACK	DD/SM 1
ABCISSA	W2 52
ABCISSA	W2 53
ABEL	XFOR 108
ABEL	XFOR 109
ABOMINATION/EMIL BLONSKY	H3 25
ABOMINATION/EMIL BLONSKY	TTA 90/2
ABOMINATION/EMIL BLONSKY	TTA 91/2
ABOMINATION/EMIL BLONSKY	SS 12
ABOMINATION/EMIL BLONSKY	T 178
ABOMINATION/EMIL BLONSKY	H2 136
ABOMINATION/EMIL BLONSKY	H2 137
ABOMINATION/EMIL BLONSKY	H2 159
ABOMINATION/EMIL BLONSKY	H2 171
ABOMINATION/EMIL BLONSKY	H2 194
ABOMINATION/EMIL BLONSKY	H2 195
ABOMINATION/EMIL BLONSKY	H2 196
ABOMINATION/EMIL BLONSKY	H2 270
ABOMINATION/EMIL BLONSKY	H2 287
ABOMINATION/EMIL BLONSKY	H2 278
ABOMINATION/EMIL BLONSKY	H2 288
ABOMINATION/EMIL BLONSKY	H2 289
ABOMINATION/EMIL BLONSKY	H2 290
ABOMINATION/EMIL BLONSKY	H@ 15
ABOMINATION/EMIL BLONSKY	SWII 7
ABOMINATION/EMIL BLONSKY	WCA2 25
ABOMINATION/EMIL BLONSKY	SOLOA 12
ABOMINATION/EMIL BLONSKY	ASM@ 23
ABOMINATION/EMIL BLONSKY	M/SH3 6
ABOMINATION/EMIL BLONSKY	M/SH3 7
ABOMINATION/EMIL BLONSKY	M/SH3 8
ABOMINATION/EMIL BLONSKY	H2 364
ABOMINATION/EMIL BLONSKY	H2 366
ABOMINATION/EMIL BLONSKY	H2 382
ABOMINATION/EMIL BLONSKY	H2 383
ABOMINATION/EMIL BLONSKY	H2 384
ABOMINATION/EMIL BLONSKY	H@ 20
ABOMINATION/EMIL BLONSKY	N 58
ABOMINATION/EMIL BLONSKY	N 59
ABOMINATION/EMIL BLONSKY	H2 431
ABOMINATION/EMIL BLONSKY	H2 432
ABOMINATION/EMIL BLONSKY	ABOM 2
ABOMINATION/EMIL BLONSKY	ABOM 3
ABOMINATION/EMIL BLONSKY	XM 32
ABOMINATION/EMIL BLONSKY	H2 459
ABOMINATION/EMIL BLONSKY	X 74
ABOMINATION/EMIL BLONSKY	H2 474
ABOMINATION/EMIL BLONSKY	H2 472
ABOMINATION/EMIL BLONSKY	H2 473
ABOMINATION/EMIL BLONSKY	H3 24
ABOMINATION | MUTANT X-VERSE	MX '01
ABOMINATRIX	S-H2 23
ABOMINATRIX	S-H2 21
ABOMINATRIX	S-H2 22
ABRAXAS	FF '01
ABRAXAS	AA2 22
ABRAXAS	AA2 23
ABRAXAS	AA2 24
ADAM 3,031	AA2 27
ADAM 3,031	AA2 28
ADAM 3,031	AA2 29
ADAM 3,031	AA2 31
ABSALOM	GAM3 14
ABSALOM	XFOR 10
ABSALOM	XFOR 53
ABSALOM	XFOR 54
ABSORBING MAN/CARL CRUSHER CREEL	DD:Y 1
ABSORBING MAN/CARL CRUSHER CREEL	DD 1
ABSORBING MAN/CARL CRUSHER CREEL	JIM 114
ABSORBING MAN/CARL CRUSHER CREEL	JIM 115
ABSORBING MAN/CARL CRUSHER CREEL	JIM 120
ABSORBING MAN/CARL CRUSHER CREEL	JIM 121
ABSORBING MAN/CARL CRUSHER CREEL	JIM 122
ABSORBING MAN/CARL CRUSHER CREEL	JIM 123
ABSORBING MAN/CARL CRUSHER CREEL	T@ 2
ABSORBING MAN/CARL CRUSHER CREEL	H2 125
ABSORBING MAN/CARL CRUSHER CREEL	T 206
ABSORBING MAN/CARL CRUSHER CREEL	T 207
ABSORBING MAN/CARL CRUSHER CREEL	T 235
ABSORBING MAN/CARL CRUSHER CREEL	T 236
ABSORBING MAN/CARL CRUSHER CREEL	H2 208
ABSORBING MAN/CARL CRUSHER CREEL	H2 209
ABSORBING MAN/CARL CRUSHER CREEL	A 183
ABSORBING MAN/CARL CRUSHER CREEL	A 184
ABSORBING MAN/CARL CRUSHER CREEL	M/CP 160/4
ABSORBING MAN/CARL CRUSHER CREEL	H2 261
ABSORBING MAN/CARL CRUSHER CREEL	DAZZ 18
ABSORBING MAN/CARL CRUSHER CREEL	DAZZ 17
ABSORBING MAN/CARL CRUSHER CREEL	DAZZ 19
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 1
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 2
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 3
ABSORBING MAN/CARL CRUSHER CREEL	T 383
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 4
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 5
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 6
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 7
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 8
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 9
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 10
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 11
ABSORBING MAN/CARL CRUSHER CREEL	M/SHSW 12
ABSORBING MAN/CARL CRUSHER CREEL	SWII 7
ABSORBING MAN/CARL CRUSHER CREEL	A 270
ABSORBING MAN/CARL CRUSHER CREEL	A 273
ABSORBING MAN/CARL CRUSHER CREEL	ASM 283
ABSORBING MAN/CARL CRUSHER CREEL	A 274
ABSORBING MAN/CARL CRUSHER CREEL	A 275
ABSORBING MAN/CARL CRUSHER CREEL	T 375
ABSORBING MAN/CARL CRUSHER CREEL	T 376
ABSORBING MAN/CARL CRUSHER CREEL	H2 348
ABSORBING MAN/CARL CRUSHER CREEL	H2 347
ABSORBING MAN/CARL CRUSHER CREEL	Q 5
ABSORBING MAN/CARL CRUSHER CREEL	ASPOT 29/2
ABSORBING MAN/CARL CRUSHER CREEL	A@ 20/4
ABSORBING MAN/CARL CRUSHER CREEL	H@ 18
ABSORBING MAN/CARL CRUSHER CREEL	T 436
ABSORBING MAN/CARL CRUSHER CREEL	T 447
ABSORBING MAN/CARL CRUSHER CREEL	T 448
ABSORBING MAN/CARL CRUSHER CREEL	TS 16
ABSORBING MAN/CARL CRUSHER CREEL	T 490
ABSORBING MAN/CARL CRUSHER CREEL	AUP 3
ABSORBING MAN/CARL CRUSHER CREEL	AUP 4
ABSORBING MAN/CARL CRUSHER CREEL	DD 359
ABSORBING MAN/CARL CRUSHER CREEL	M/VS 1/4
ABSORBING MAN/CARL CRUSHER CREEL	H2 456
ABSORBING MAN/CARL CRUSHER CREEL	H2 457
ABSORBING MAN/CARL CRUSHER CREEL	ASM 429
ABSORBING MAN/CARL CRUSHER CREEL	HFH 17
ABSORBING MAN/CARL CRUSHER CREEL	T2 14
ABSORBING MAN/CARL CRUSHER CREEL	FF3 22
ABSORBING MAN/CARL CRUSHER CREEL	CA3 24
ABSORBING MAN/CARL CRUSHER CREEL	T2 25
ABSORBING MAN/CARL CRUSHER CREEL	T2 26
ABSORBING MAN/CARL CRUSHER CREEL	T2 27
ABSORBING MAN/CARL CRUSHER CREEL	DPOOL3 43
ABSORBING MAN/CARL CRUSHER CREEL	W2 164
ABSORBING MAN | MUTANT X-VERSE	MX '01
ACBA	Q 25
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 3
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 4
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 5
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 8
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 9
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 10
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 11
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 12
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 13
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	DPOOL3 43
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	DPOOL3 44
ACHEBE, REVEREND DOCTOR MICHAEL IBN AL-HAJJ	BP3 23
ACHILLES	T@ 8
ACHILLES II/HELMUT	H2 387
ACHILLES II/HELMUT	H2 379
ACHILLES II/HELMUT	H2 381
ACHILLES II/HELMUT	H2 382
ACHILLES II/HELMUT	H@ 18/3
ACHILLES II/HELMUT	H2 386
ACHILLES II/HELMUT	H@ 17/5
ACHILLES II/HELMUT	CAGE 9
ACHILLES II/HELMUT	H2 395
ACHILLES II/HELMUT	H2 397
ACHILLES II/HELMUT	H@ 20/3
ACHILLES II/HELMUT	H2 421
ACHILLES II/HELMUT	H2 423
ACHILLES II/HELMUT	H2 424
ACHILLES II/HELMUT	H2 425
ACROBAT/CARL ZANTE	ST 106
ACROBAT/CARL ZANTE	ST 114
ACROBAT/CARL ZANTE	CA:SL2 11
ADAM X	X 39
ADAM X	X 38
ADAM X	CM4 2
ADAM X	CM4 3
ADAMS, CINDY	ROM 60
ADAMS, CINDY	ROM 61
ADAMS, CINDY	ROM 62
ADAMS, CINDY	ROM 63
ADAMS, CINDY	ROM 64
ADAMS, CINDY	ROM 65
ADAMS, CINDY	ROM 66
ADAMS, CINDY	ROM 67
ADAMS, CINDY	ROM 71
ADAMS, CINDY	ROM 72
ADAMS, CONGRESSMAN HENRY	DB 1
ADAMS, GEORGE	ROM 60
ADAMS, GEORGE	ROM 72
ADAMS, MARTHA	ROM 60
ADAMS, MARTHA	ROM 72
ADAMS, NICOLE NIKKI	A 77
ADAMS, NICOLE NIKKI	BP3 6
ADAMS, NICOLE NIKKI	BP3 10
ADAMS, NICOLE NIKKI	BP3 18
ADAMS, NICOLE NIKKI	BP3 1
ADAMS, NICOLE NIKKI	BP3 2
ADAMS, NICOLE NIKKI	BP3 3
ADAMS, NICOLE NIKKI	BP3 4
ADAMS, NICOLE NIKKI	BP3 5
ADAMS, NICOLE NIKKI	BP3 7
ADAMS, NICOLE NIKKI	BP3 8
ADAMS, NICOLE NIKKI	BP3 14
ADAMS, NICOLE NIKKI	BP3 15
ADAMS, NICOLE NIKKI	BP3 16
ADAMS, NICOLE NIKKI	BP3 17
ADAMS, NICOLE NIKKI	BP3 19
ADAMS, NICOLE NIKKI	BP3 20
ADAMS, NICOLE NIKKI	BP3 22
ADAMS, NICOLE NIKKI	BP3 24
ADAMS, NICOLE NIKKI	BP3 25
ADAMS, NICOLE NIKKI	BP3 27
ADAMSON, JASON	ST 174
ADAMSON, JASON	ST 176
ADAMSON, JASON	ST 177
ADAMSON, REBECCA	ST 174
ADAMSON, REBECCA	ST 176
ADAMSON, REBECCA	ST 177
ADMIRAL PROTOCOL/	NW 53
ADMIRAL PROTOCOL/	NW 54
ADMIRAL PROTOCOL/	NW 55
ADMIRAL PROTOCOL/	NW 56
ADMIRAL PROTOCOL/	NW 58
ADMIRAL PROTOCOL/	NW 62
ADMIRAL PROTOCOL/	NW 65
ADMIRAL PROTOCOL/	NW 74
ADORA	FF 204
ADORA	FF 205
ADORA	FF 206
ADORA	FF 208
ADORA	FF 209
ADORA	FF 214
ADORA	ROM 24
ADORA	A 260
ADORA	NO2 15
ADORA	NO2 17
ADORA	NO2 18
ADORA CLONE	NW 42
ADORA CLONE	NO2 14
ADRIA	ST 141/2
ADRIA	ST 142/2
ADRIA	ST 143/2
ADRIA	DRSTR2 56
ADVA	T2 4
ADVA	T2 5
ADVA	T2 7
ADVA	T2 8
ADVA	T2 9
ADVA	T2 10
ADVA	T2 11
ADVA	T2 12
ADVENT/KYLE GROBE	NW 70
ADVENT/KYLE GROBE	NW 69
ADVENT/KYLE GROBE	NW 71
ADVERSARY	UX 187
ADVERSARY	UX 188
ADVERSARY	UX 220
ADVERSARY	UX 221
ADVERSARY	UX 222
ADVERSARY	UX 223
ADVERSARY	UX 224
ADVERSARY	UX 225
ADVERSARY	UX 226
ADVERSARY	UX 227
ADVERSARY	XF 119
ADVERSARY	XF 120
ADVERSARY	XF 121
AEGIS/TREY ROLLINS	NW2 4
AEGIS/TREY ROLLINS	NW2 1
AEGIS/TREY ROLLINS	NW2 2
AEGIS/TREY ROLLINS	NW2 3
AEGIS/TREY ROLLINS	NW2 5
AEGIS/TREY ROLLINS	NW2 6
AEGIS/TREY ROLLINS	NW2 7
AEGIS/TREY ROLLINS	W2 149
AEGIS/TREY ROLLINS	NW2 8
AEGIS/TREY ROLLINS	NW2 9
AEGIS/TREY ROLLINS	NW2 10
AENTAROS	C2 84
AENTAROS	C2 81
AENTAROS	C2 79
AENTAROS	C2 80
AENTAROS	C2 82
AENTAROS	C2 83
AFTERLIFE	DRSTR3 88
AFTERLIFE	DRSTR3 89
AGAMEMNON	T@ 8
AGAMEMNON II/ANDREI ROSTOV	M/TIO 10
AGAMEMNON III/	H2 376
AGAMEMNON III/	H2 381
AGAMEMNON III/	H@ 18/3
AGAMEMNON III/	H2 386
AGAMEMNON III/	H2 387
AGAMEMNON III/	H@ 17/5
AGAMEMNON III/	H@ 18/2
