source	target	pvalue	threshold
SCARLET WITCH/WANDA MAXIMOFF	VISION 	0.0	4.757852431019942e-10
INVISIBLE WOMAN/SUE STORM RICHARDS 	THING/BENJAMIN J. GRIMM 	0.0	4.757852431019942e-10
ANGEL/WARREN KENNETH WORTHINGTON III 	ICEMAN/ROBERT BOBBY DRAKE	0.0	4.757852431019942e-10
HOGUN [ASGARDIAN]	VOLSTAGG	0.0	4.757852431019942e-10
COLOSSUS II/PETER RASPUTIN 	NIGHTCRAWLER/KURT WAGNER 	0.0	4.757852431019942e-10
HUMAN TORCH/JOHNNY STORM 	MR. FANTASTIC/REED RICHARDS 	0.0	4.757852431019942e-10
ICEMAN/ROBERT BOBBY DRAKE	MARVEL GIRL/JEAN GREY SUMMERS	0.0	4.757852431019942e-10
STORM/ORORO MUNROE Subscribe!	WOLVERINE/LOGAN 	0.0	4.757852431019942e-10
BEAST/HENRY &HANK& P. MCCOY 	ICEMAN/ROBERT BOBBY DRAKE	0.0	4.757852431019942e-10
NIGHTCRAWLER/KURT WAGNER 	SHADOWCAT/KATHERINE KITTY PRYDE 	0.0	4.757852431019942e-10
INVISIBLE WOMAN/SUE STORM RICHARDS 	MR. FANTASTIC/REED RICHARDS 	0.0	4.757852431019942e-10
JAMESON, J. JONAH	ROBERTSON, JOE	0.0	4.757852431019942e-10
JAMESON, J. JONAH	SPIDER-MAN/PETER PARKER	0.0	4.757852431019942e-10
HUMAN TORCH/JOHNNY STORM 	THING/BENJAMIN J. GRIMM 	0.0	4.757852431019942e-10
KA-ZAR/KEVIN PLUNDER	ZABU	0.0	4.757852431019942e-10
FANDRAL [ASGARDIAN]	HOGUN [ASGARDIAN]	0.0	4.757852431019942e-10
PARKER, MAY	SPIDER-MAN/PETER PARKER	0.0	4.757852431019942e-10
COLOSSUS II/PETER RASPUTIN 	STORM/ORORO MUNROE Subscribe!	0.0	4.757852431019942e-10
CYCLOPS/SCOTT SUMMERS 	ICEMAN/ROBERT BOBBY DRAKE	0.0	4.757852431019942e-10
SPIDER-MAN/PETER PARKER	WATSON-PARKER, MARY JANE	0.0	4.757852431019942e-10
MR. FANTASTIC/REED RICHARDS 	THING/BENJAMIN J. GRIMM 	0.0	4.757852431019942e-10
FANDRAL [ASGARDIAN]	VOLSTAGG	0.0	4.757852431019942e-10
ANT-MAN/DR. HENRY J. PYM	WASP/JANET VAN DYNE PYM	0.0	4.757852431019942e-10
ANGEL/WARREN KENNETH WORTHINGTON III 	MARVEL GIRL/JEAN GREY SUMMERS	0.0	4.757852431019942e-10
CYCLOPS/SCOTT SUMMERS 	MARVEL GIRL/JEAN GREY SUMMERS	0.0	4.757852431019942e-10
HUMAN TORCH/JOHNNY STORM 	INVISIBLE WOMAN/SUE STORM RICHARDS 	0.0	4.757852431019942e-10
DAREDEVIL/MATT MURDOCK	NELSON, FRANKLIN FOGGY	0.0	4.757852431019942e-10
ANGEL/WARREN KENNETH WORTHINGTON III 	BEAST/HENRY &HANK& P. MCCOY 	1.9e-322	4.757852431019942e-10
COLOSSUS II/PETER RASPUTIN 	WOLVERINE/LOGAN 	1.083965e-318	4.757852431019942e-10
CYCLOPS/SCOTT SUMMERS 	PROFESSOR X/CHARLES FRANCIS XAVIER 	3.53823905814256e-310	4.757852431019942e-10
BEAST/HENRY &HANK& P. MCCOY 	MARVEL GIRL/JEAN GREY SUMMERS	1.211820911290521e-306	4.757852431019942e-10
ANGEL/WARREN KENNETH WORTHINGTON III 	CYCLOPS/SCOTT SUMMERS 	4.323726508124485e-306	4.757852431019942e-10
BANNER, BETTY ROSS TALBOT	HULK/DR. ROBERT BRUCE BANNER 	6.482899004406867e-305	4.757852431019942e-10
ROBERTSON, JOE	SPIDER-MAN/PETER PARKER	8.867906922681536e-300	4.757852431019942e-10
GORGON [INHUMAN]	KARNAK [INHUMAN]	9.932801417961004e-298	4.757852431019942e-10
BEAST/HENRY &HANK& P. MCCOY 	CYCLOPS/SCOTT SUMMERS 	7.3247420120831e-279	4.757852431019942e-10
CANNONBALL II/SAM GUTHRIE 	SUNSPOT/ROBERTO DACOSTA 	1.4472498175283266e-271	4.757852431019942e-10
DR. STRANGE/STEPHEN STRANGE	WONG	4.025417647266961e-269	4.757852431019942e-10
BLACK BOLT/BLACKANTOR BOLTAGON [INHUMAN]	GORGON [INHUMAN]	7.240708510344424e-265	4.757852431019942e-10
BLACK BOLT/BLACKANTOR BOLTAGON [INHUMAN]	KARNAK [INHUMAN]	5.65226748455167e-264	4.757852431019942e-10
SCARLET WITCH/WANDA MAXIMOFF	WONDER MAN/SIMON WILLIAMS 	9.934953969066239e-260	4.757852431019942e-10
ODIN [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	1.091408674668598e-255	4.757852431019942e-10
ROGUE /	STORM/ORORO MUNROE Subscribe!	3.315398479969546e-253	4.757852431019942e-10
NIGHTCRAWLER/KURT WAGNER 	STORM/ORORO MUNROE Subscribe!	7.075710766510599e-250	4.757852431019942e-10
HAWK	SCARLET WITCH/WANDA MAXIMOFF	1.848861228395562e-249	4.757852431019942e-10
PROFESSOR X/CHARLES FRANCIS XAVIER 	STORM/ORORO MUNROE Subscribe!	2.8161097703268613e-249	4.757852431019942e-10
INVISIBLE WOMAN/SUE STORM RICHARDS 	RICHARDS, FRANKLIN BENJAMIN	3.5131557645278233e-249	4.757852431019942e-10
MIRAGE II/DANIELLE MOONSTAR 	SUNSPOT/ROBERTO DACOSTA 	2.8245066647044163e-248	4.757852431019942e-10
HULK/DR. ROBERT BRUCE BANNER 	ROSS, GEN. THADDEUS E. THUNDERBOLT	8.144468109482582e-247	4.757852431019942e-10
BALDER [ASGARDIAN]	SIF	1.218820700495219e-246	4.757852431019942e-10
CAPTAIN AMERICA	WASP/JANET VAN DYNE PYM	1.410177587293579e-241	4.757852431019942e-10
CAPTAIN AMERICA	VISION 	3.82074663539746e-237	4.757852431019942e-10
IRON MAN/TONY STARK 	SCARLET WITCH/WANDA MAXIMOFF	1.240135368434254e-234	4.757852431019942e-10
COLOSSUS II/PETER RASPUTIN 	ROGUE /	7.719236016238843e-234	4.757852431019942e-10
BLACK BOLT/BLACKANTOR BOLTAGON [INHUMAN]	MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	6.043517081775761e-233	4.757852431019942e-10
BALDER [ASGARDIAN]	VOLSTAGG	6.223158358304876e-233	4.757852431019942e-10
MR. FANTASTIC/REED RICHARDS 	RICHARDS, FRANKLIN BENJAMIN	3.81549335311431e-232	4.757852431019942e-10
COLOSSUS II/PETER RASPUTIN 	PROFESSOR X/CHARLES FRANCIS XAVIER 	1.5032691542831321e-228	4.757852431019942e-10
LEEDS, BETTY BRANT	SPIDER-MAN/PETER PARKER	1.8327802458312815e-226	4.757852431019942e-10
CLEA	DR. STRANGE/STEPHEN STRANGE	4.13449423802103e-226	4.757852431019942e-10
CANNONBALL II/SAM GUTHRIE 	MIRAGE II/DANIELLE MOONSTAR 	2.6462034918195592e-225	4.757852431019942e-10
BALDER [ASGARDIAN]	HOGUN [ASGARDIAN]	2.895068153038389e-225	4.757852431019942e-10
BALDER [ASGARDIAN]	FANDRAL [ASGARDIAN]	2.895068153038389e-225	4.757852431019942e-10
CYCLOPS/SCOTT SUMMERS 	STORM/ORORO MUNROE Subscribe!	1.229840828897009e-224	4.757852431019942e-10
BANNER, BETTY ROSS TALBOT	ROSS, GEN. THADDEUS E. THUNDERBOLT	8.767988720884577e-222	4.757852431019942e-10
COUNTERWEIGHT/JACK POWER	LIGHTSPEED/JULIE POWER	1.7524307002668786e-219	4.757852431019942e-10
CLOAK/TYRONE JOHNSON	DAGGER/TANDY BOWEN	4.57322197397745e-218	4.757852431019942e-10
GORGON [INHUMAN]	MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	6.057306507056486e-216	4.757852431019942e-10
NIGHTCRAWLER/KURT WAGNER 	WOLVERINE/LOGAN 	1.8287123221353336e-215	4.757852431019942e-10
COLOSSUS II/PETER RASPUTIN 	SHADOWCAT/KATHERINE KITTY PRYDE 	2.331347291709008e-215	4.757852431019942e-10
FIRESTAR/ANGELICA JONES 	JUSTICE II/VANCE ASTROVIK 	2.4587190954239e-215	4.757852431019942e-10
KARNAK [INHUMAN]	MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	3.050211831607974e-215	4.757852431019942e-10
HAWK	WASP/JANET VAN DYNE PYM	3.990033589712698e-215	4.757852431019942e-10
SPIDER-MAN/PETER PARKER	THOMPSON, EUGENE FLASH	1.8222014980225232e-214	4.757852431019942e-10
ROGUE /	WOLVERINE/LOGAN 	2.3685239948793983e-214	4.757852431019942e-10
HUDSON, HEATHER	PUCK/EUGENE MILTON JUDD	4.944874440562707e-214	4.757852431019942e-10
SCARLET WITCH/WANDA MAXIMOFF	WASP/JANET VAN DYNE PYM	3.1948307852033725e-213	4.757852431019942e-10
ANT-MAN/DR. HENRY J. PYM	HAWK	6.771816889913127e-212	4.757852431019942e-10
COUNTERWEIGHT II/KATIE POWER	COUNTERWEIGHT/JACK POWER	2.3047530374613375e-210	4.757852431019942e-10
COUNTERWEIGHT II/KATIE POWER	LIGHTSPEED/JULIE POWER	2.3047530374613375e-210	4.757852431019942e-10
AURORA/JEANNE-MARIE BAUBIER	NORTHSTAR/JEAN-PAUL BAUBIER	2.8489657544265435e-209	4.757852431019942e-10
CAPTAIN AMERICA	SCARLET WITCH/WANDA MAXIMOFF	5.943158800976321e-209	4.757852431019942e-10
VISION 	WONDER MAN/SIMON WILLIAMS 	4.883164324684259e-208	4.757852431019942e-10
SHANG-CHI	TARR, BLACK JACK	1.468821680224477e-207	4.757852431019942e-10
HOGAN, HAROLD J. HAPPY	HOGAN, VIRGINIA PEPPER POTTS	1.4684871245017388e-206	4.757852431019942e-10
ODIN [ASGARDIAN]	SIF	6.34276471196103e-205	4.757852431019942e-10
BALDER [ASGARDIAN]	ODIN [ASGARDIAN]	8.184405863910534e-205	4.757852431019942e-10
CANNONBALL II/SAM GUTHRIE 	WOLFSBANE/RAHNE SINCLAIR	5.999327508733223e-199	4.757852431019942e-10
IRON MAN/TONY STARK 	VISION 	2.4285403335170595e-198	4.757852431019942e-10
SIF	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	4.281825157405868e-198	4.757852431019942e-10
DAREDEVIL/MATT MURDOCK	PAGE, KAREN	7.054023560274674e-197	4.757852431019942e-10
BALDER [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	2.600119957440348e-196	4.757852431019942e-10
VISION 	WASP/JANET VAN DYNE PYM	6.158382793597526e-195	4.757852431019942e-10
DUGAN, TIMOTHY ALOYISIOUS DUM DUM	FURY, COL. NICHOLAS NICK JOSEPH	2.454849242388254e-194	4.757852431019942e-10
QUICKSILVER/PIETRO MAXIMOFF	SCARLET WITCH/WANDA MAXIMOFF	3.157500821286878e-194	4.757852431019942e-10
GEE/ALEX POWER	LIGHTSPEED/JULIE POWER	8.560807141242271e-194	4.757852431019942e-10
COUNTERWEIGHT/JACK POWER	GEE/ALEX POWER	8.560807141242271e-194	4.757852431019942e-10
HAVOK/ALEX SUMMERS 	POLARIS/LORNA DANE	5.642332131989549e-193	4.757852431019942e-10
HOGUN [ASGARDIAN]	SIF	8.696189675969428e-192	4.757852431019942e-10
CAPTAIN BRITAIN/BRIAN BRADDOCK	MEGGAN	2.19363849457301e-190	4.757852431019942e-10
PSYLOCKE/ELISABETH BETSY BRADDOCK 	ROGUE /	2.6165097633196677e-190	4.757852431019942e-10
COUNTERWEIGHT II/KATIE POWER	GEE/ALEX POWER	3.115996725257536e-190	4.757852431019942e-10
FANDRAL [ASGARDIAN]	SIF	1.4730926670959384e-189	4.757852431019942e-10
HAWK	VISION 	4.887601746081261e-189	4.757852431019942e-10
JAMESON, J. JONAH	LEEDS, BETTY BRANT	4.512951510643919e-188	4.757852431019942e-10
BOOMER/TABITHA SMITH	THUNDERBIRD II/JAMES PROUDSTAR	3.1767763061333895e-187	4.757852431019942e-10
MARVEL GIRL/JEAN GREY SUMMERS	PROFESSOR X/CHARLES FRANCIS XAVIER 	1.2380490242194223e-186	4.757852431019942e-10
SUNSPOT/ROBERTO DACOSTA 	WOLFSBANE/RAHNE SINCLAIR	4.0143999501558335e-186	4.757852431019942e-10
MIRAGE II/DANIELLE MOONSTAR 	WOLFSBANE/RAHNE SINCLAIR	6.1292577288892204e-186	4.757852431019942e-10
JAMESON, J. JONAH	PARKER, MAY	2.743191916616529e-185	4.757852431019942e-10
FRENCHIE/JEAN-PAUL DUCHAMP	MOON KNIGHT/MARC SPECTOR/STEVEN GRANT/JAKE LOCKLEY	5.041989923110853e-184	4.757852431019942e-10
CAGE, LUKE/CARL LUCAS	IRON FIST/DANIEL RAND	1.1018426423075992e-183	4.757852431019942e-10
CYCLOPS/SCOTT SUMMERS 	WOLVERINE/LOGAN 	3.911222247057976e-183	4.757852431019942e-10
SIF	VOLSTAGG	4.070935923744647e-181	4.757852431019942e-10
FALCON/SAM WILSON	REDWING	7.010024090811722e-181	4.757852431019942e-10
HUMAN TORCH/JOHNNY STORM 	RICHARDS, FRANKLIN BENJAMIN	2.24466633551923e-180	4.757852431019942e-10
ANT-MAN/DR. HENRY J. PYM	VISION 	4.852904930028717e-179	4.757852431019942e-10
HUDSON, HEATHER	SASQUATCH/WALTER LANGKOWSKI	3.123832134450519e-178	4.757852431019942e-10
ANT-MAN/DR. HENRY J. PYM	SCARLET WITCH/WANDA MAXIMOFF	4.9080376526017895e-178	4.757852431019942e-10
ROSS, GEN. THADDEUS E. THUNDERBOLT	TALBOT, GLENN	4.744609335408401e-177	4.757852431019942e-10
NIGHTHAWK II/KYLE RICHMOND	NORRISS, SISTER BARBARA DENTON	1.0184923642668577e-176	4.757852431019942e-10
SHANG-CHI	WU, LEIKO	1.0340962313937092e-176	4.757852431019942e-10
HAWK	WONDER MAN/SIMON WILLIAMS 	1.7489282860484156e-175	4.757852431019942e-10
BOX IV/MADISON JEFFRIES	HUDSON, HEATHER	3.7966104495454767e-175	4.757852431019942e-10
MASTERS, ALICIA REISS	THING/BENJAMIN J. GRIMM 	1.0567671843122776e-173	4.757852431019942e-10
CHAMBER/JONOTHON STARSMORE	SKIN/ANGELO ESPINOSA	5.539858356422594e-173	4.757852431019942e-10
BLACK BOLT/BLACKANTOR BOLTAGON [INHUMAN]	TRITON	3.715412434389692e-172	4.757852431019942e-10
GORGON [INHUMAN]	TRITON	1.137490233283858e-171	4.757852431019942e-10
THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	VOLSTAGG	1.699140820063622e-171	4.757852431019942e-10
HAWK	MOCKINGBIRD/DR. BARBARA BOBBI MORSE/HUNTRESS	6.269308901526903e-171	4.757852431019942e-10
RESTON, CLIVE	SHANG-CHI	3.1135549534444625e-170	4.757852431019942e-10
KARNAK [INHUMAN]	TRITON	3.609964058681482e-170	4.757852431019942e-10
PROFESSOR X/CHARLES FRANCIS XAVIER 	WOLVERINE/LOGAN 	1.335044671769993e-169	4.757852431019942e-10
SUNSPOT/ROBERTO DACOSTA 	WARLOCK III	1.906244083596234e-169	4.757852431019942e-10
FANDRAL [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	4.740009535033447e-169	4.757852431019942e-10
HOGUN [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	4.740009535033447e-169	4.757852431019942e-10
SHANG-CHI	SMITH, SIR DENIS NAYLAND	4.39763976006832e-168	4.757852431019942e-10
HOGUN [ASGARDIAN]	ODIN [ASGARDIAN]	3.2896184232054945e-166	4.757852431019942e-10
RESTON, CLIVE	TARR, BLACK JACK	3.8073294830181565e-166	4.757852431019942e-10
KNIGHT, MISTY	WING, COLLEEN	5.1287578653027385e-166	4.757852431019942e-10
JAMESON, J. JONAH	WATSON-PARKER, MARY JANE	1.3882340772099018e-165	4.757852431019942e-10
OSBORN, HARRY	SPIDER-MAN/PETER PARKER	1.4314280172442908e-165	4.757852431019942e-10
RICHARDS, FRANKLIN BENJAMIN	THING/BENJAMIN J. GRIMM 	1.5811333516724747e-165	4.757852431019942e-10
IRON MAN/TONY STARK 	WONDER MAN/SIMON WILLIAMS 	2.7897314194223576e-165	4.757852431019942e-10
MEGGAN	SHADOWCAT/KATHERINE KITTY PRYDE 	8.679861564913312e-165	4.757852431019942e-10
ANT-MAN/DR. HENRY J. PYM	WONDER MAN/SIMON WILLIAMS 	1.0949368154198282e-164	4.757852431019942e-10
IRON MAN/TONY STARK 	WASP/JANET VAN DYNE PYM	1.178275195727199e-164	4.757852431019942e-10
ODIN [ASGARDIAN]	VOLSTAGG	1.3060369745937224e-164	4.757852431019942e-10
RESTON, CLIVE	WU, LEIKO	1.5469846801156256e-164	4.757852431019942e-10
FANDRAL [ASGARDIAN]	ODIN [ASGARDIAN]	3.042138052359633e-164	4.757852431019942e-10
SMITH, SIR DENIS NAYLAND	TARR, BLACK JACK	1.620545525774584e-163	4.757852431019942e-10
BOOMER/TABITHA SMITH	CANNONBALL II/SAM GUTHRIE 	2.8521333534454264e-162	4.757852431019942e-10
HUSK/PAIGE GUTHRIE	SKIN/ANGELO ESPINOSA	5.900041071137951e-161	4.757852431019942e-10
COLOSSUS II/PETER RASPUTIN 	CYCLOPS/SCOTT SUMMERS 	5.990173384902684e-161	4.757852431019942e-10
BOOMER/TABITHA SMITH	SUNSPOT/ROBERTO DACOSTA 	7.72551221067478e-161	4.757852431019942e-10
ALRAUNE, MARLENE	MOON KNIGHT/MARC SPECTOR/STEVEN GRANT/JAKE LOCKLEY	1.1585072964941493e-160	4.757852431019942e-10
NELSON, FRANKLIN FOGGY	PAGE, KAREN	1.2293732997277134e-160	4.757852431019942e-10
CAPTAIN AMERICA	HAWK	4.764916248624224e-160	4.757852431019942e-10
ANT-MAN/DR. HENRY J. PYM	IRON MAN/TONY STARK 	2.13756734563523e-159	4.757852431019942e-10
HUSK/PAIGE GUTHRIE	SYNCH/EVERETT THOMAS	9.139378962291745e-158	4.757852431019942e-10
CAPTAIN AMERICA	IRON MAN/TONY STARK 	2.3924467472652304e-157	4.757852431019942e-10
HUDSON, HEATHER	NORTHSTAR/JEAN-PAUL BAUBIER	2.5996380227902256e-157	4.757852431019942e-10
SKIN/ANGELO ESPINOSA	SYNCH/EVERETT THOMAS	5.2205017694389476e-157	4.757852431019942e-10
LEEDS, BETTY BRANT	THOMPSON, EUGENE FLASH	1.0951640932575864e-156	4.757852431019942e-10
TARR, BLACK JACK	WU, LEIKO	1.2859068315997954e-156	4.757852431019942e-10
NIGHTCRAWLER/KURT WAGNER 	PROFESSOR X/CHARLES FRANCIS XAVIER 	1.9143153886047901e-156	4.757852431019942e-10
MEGGAN	NIGHTCRAWLER/KURT WAGNER 	3.0862243725442494e-156	4.757852431019942e-10
NORTHSTAR/JEAN-PAUL BAUBIER	PUCK/EUGENE MILTON JUDD	1.2332685584580952e-155	4.757852431019942e-10
ROM, SPACEKNIGHT	STARSHINE II/BRANDY CLARK	2.30810773567178e-155	4.757852431019942e-10
CHAMBER/JONOTHON STARSMORE	HUSK/PAIGE GUTHRIE	3.608789002321012e-154	4.757852431019942e-10
CAPTAIN AMERICA	FALCON/SAM WILSON	2.715891193918358e-153	4.757852431019942e-10
WARLOCK III	WOLFSBANE/RAHNE SINCLAIR	4.217161872649518e-153	4.757852431019942e-10
CHAMBER/JONOTHON STARSMORE	PENANCE/MONET ST. CROIX	9.293315623605912e-153	4.757852431019942e-10
HAWK	IRON MAN/TONY STARK 	1.3992292430084918e-151	4.757852431019942e-10
LOKI [ASGARDIAN]	ODIN [ASGARDIAN]	1.795717598795597e-151	4.757852431019942e-10
LOKI [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	3.238024396440524e-150	4.757852431019942e-10
LOCKHEED	SHADOWCAT/KATHERINE KITTY PRYDE 	5.945343394330584e-150	4.757852431019942e-10
PSYLOCKE/ELISABETH BETSY BRADDOCK 	WOLVERINE/LOGAN 	7.227237337802129e-150	4.757852431019942e-10
PARKER, MAY	WATSON-PARKER, MARY JANE	1.34368069450739e-149	4.757852431019942e-10
