source	target	pvalue	threshold
SCARLET WITCH/WANDA MAXIMOFF	VISION 	0.0	4.757852431019942e-10
INVISIBLE WOMAN/SUE STORM RICHARDS 	THING/BENJAMIN J. GRIMM 	0.0	9.515704862039883e-10
ANGEL/WARREN KENNETH WORTHINGTON III 	ICEMAN/ROBERT BOBBY DRAKE	0.0	1.4273557293059826e-09
HOGUN [ASGARDIAN]	VOLSTAGG	0.0	1.9031409724079766e-09
COLOSSUS II/PETER RASPUTIN 	NIGHTCRAWLER/KURT WAGNER 	0.0	2.378926215509971e-09
HUMAN TORCH/JOHNNY STORM 	MR. FANTASTIC/REED RICHARDS 	0.0	2.854711458611965e-09
ICEMAN/ROBERT BOBBY DRAKE	MARVEL GIRL/JEAN GREY SUMMERS	0.0	3.3304967017139594e-09
STORM/ORORO MUNROE Subscribe!	WOLVERINE/LOGAN 	0.0	3.806281944815953e-09
BEAST/HENRY &HANK& P. MCCOY 	ICEMAN/ROBERT BOBBY DRAKE	0.0	4.2820671879179475e-09
NIGHTCRAWLER/KURT WAGNER 	SHADOWCAT/KATHERINE KITTY PRYDE 	0.0	4.757852431019942e-09
INVISIBLE WOMAN/SUE STORM RICHARDS 	MR. FANTASTIC/REED RICHARDS 	0.0	5.233637674121936e-09
JAMESON, J. JONAH	ROBERTSON, JOE	0.0	5.70942291722393e-09
JAMESON, J. JONAH	SPIDER-MAN/PETER PARKER	0.0	6.1852081603259245e-09
HUMAN TORCH/JOHNNY STORM 	THING/BENJAMIN J. GRIMM 	0.0	6.660993403427919e-09
KA-ZAR/KEVIN PLUNDER	ZABU	0.0	7.136778646529912e-09
FANDRAL [ASGARDIAN]	HOGUN [ASGARDIAN]	0.0	7.612563889631906e-09
PARKER, MAY	SPIDER-MAN/PETER PARKER	0.0	8.088349132733902e-09
COLOSSUS II/PETER RASPUTIN 	STORM/ORORO MUNROE Subscribe!	0.0	8.564134375835895e-09
CYCLOPS/SCOTT SUMMERS 	ICEMAN/ROBERT BOBBY DRAKE	0.0	9.03991961893789e-09
SPIDER-MAN/PETER PARKER	WATSON-PARKER, MARY JANE	0.0	9.515704862039884e-09
MR. FANTASTIC/REED RICHARDS 	THING/BENJAMIN J. GRIMM 	0.0	9.991490105141878e-09
FANDRAL [ASGARDIAN]	VOLSTAGG	0.0	1.0467275348243872e-08
ANT-MAN/DR. HENRY J. PYM	WASP/JANET VAN DYNE PYM	0.0	1.0943060591345866e-08
ANGEL/WARREN KENNETH WORTHINGTON III 	MARVEL GIRL/JEAN GREY SUMMERS	0.0	1.141884583444786e-08
CYCLOPS/SCOTT SUMMERS 	MARVEL GIRL/JEAN GREY SUMMERS	0.0	1.1894631077549855e-08
HUMAN TORCH/JOHNNY STORM 	INVISIBLE WOMAN/SUE STORM RICHARDS 	0.0	1.2370416320651849e-08
DAREDEVIL/MATT MURDOCK	NELSON, FRANKLIN FOGGY	0.0	1.2846201563753843e-08
