source	target	pvalue	threshold
IRON MAN/TONY STARK 	WATSON-PARKER, MARY JANE	3.099952532838698e-16	4.757852431019942e-10
CAPTAIN AMERICA	WATSON-PARKER, MARY JANE	1.3677508339300581e-13	4.757852431019942e-10
THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	WATSON-PARKER, MARY JANE	4.760255554419713e-13	4.757852431019942e-10
HULK/DR. ROBERT BRUCE BANNER 	WATSON-PARKER, MARY JANE	2.89098518667564e-12	4.757852431019942e-10
SCARLET WITCH/WANDA MAXIMOFF	WATSON-PARKER, MARY JANE	4.033394664528174e-12	4.757852431019942e-10
JUBILEE/JUBILATION LEE 	SPIDER-MAN/PETER PARKER	1.0333497043794236e-11	4.757852431019942e-10
ODIN [ASGARDIAN]	SPIDER-MAN/PETER PARKER	1.2620668461737008e-11	4.757852431019942e-10
WATSON-PARKER, MARY JANE	WOLVERINE/LOGAN 	4.806246980603053e-11	4.757852431019942e-10
IRON MAN/TONY STARK 	PUNISHER II/FRANK CASTIGLIONE/FRANK CASTLE	1.5007378874410264e-10	4.757852431019942e-10
HAWK	WATSON-PARKER, MARY JANE	2.2464337132144727e-10	4.757852431019942e-10
PROFESSOR X/CHARLES FRANCIS XAVIER 	WATSON-PARKER, MARY JANE	2.3855565606040277e-10	4.757852431019942e-10
BEAST/HENRY &HANK& P. MCCOY 	WATSON-PARKER, MARY JANE	3.9872286206078444e-10	4.757852431019942e-10
SPIDER-MAN/PETER PARKER	SUMMERS, NATHAN CHRISTOPHER CHARLES	4.50766472299753e-10	4.757852431019942e-10
CYCLOPS/SCOTT SUMMERS 	WATSON-PARKER, MARY JANE	4.5361902962447034e-10	4.757852431019942e-10
